0,0,1349,1328,1,1,3
185,0,980,1328,2,1,3
185,0,980,113,3,1,1
185,0,980,25,4,1,4
1050,10,95,15,5,1,2
1003,25,162,54,4,1,2
1003,59,162,20,6,1,2
533,113,632,231,3,1,1
185,344,980,34,3,1,4
185,378,1010,878,3,1,3
217,400,379,285,8,1,1
217,400,379,285,9,1,1
217,700,379,345,8,1,1
217,700,379,115,9,1,4
217,815,379,115,9,1,4
217,930,379,115,9,1,4
639,436,285,150,11,1,4
639,1098,285,29,11,1,2
967,456,184,15,11,1,2
967,491,184,175,11,1,4
967,706,184,15,11,1,2
967,741,184,75,11,1,2
967,872,184,210,11,1,4
185,1256,980,72,3,1,4
215,45,200,50,4,0,2
185,113,348,231,3,0,4
185,344,60,34,6,0,2
245,344,131,34,6,0,2
376,344,153,34,6,0,2
529,344,93,34,6,0,2
622,344,77,34,6,0,2
699,344,77,34,6,0,2
776,344,88,34,6,0,2
864,344,76,34,6,0,2
940,344,86,34,6,0,2
217,400,279,20,11,0,2
217,593,379,12,10,0,2
390,670,54,12,10,0,2
299,712,240,15,11,0,2
257,787,92,15,10,0,2
299,827,192,15,11,0,2
219,902,92,15,10,0,2
299,942,290,30,11,0,2
472,1017,92,15,10,0,2
808,804,66,15,13,0,2
645,994,66,15,13,0,2
639,1112,87,12,12,0,2
730,1112,87,12,12,0,2
821,1112,87,12,12,0,2
967,436,32,32,11,0,2
1004,436,32,32,11,0,2
1041,436,32,32,11,0,2
967,872,109,15,14,0,2
967,887,61,15,14,0,2
967,902,111,15,14,0,2
967,917,126,15,14,0,2
967,932,134,15,14,0,2
967,947,91,15,14,0,2
967,962,174,15,14,0,2
967,977,102,15,14,0,2
967,992,142,30,14,0,2
967,1022,162,15,14,0,2
967,1037,158,15,14,0,2
967,1052,156,15,14,0,2
967,1067,48,15,14,0,2
1074,1291,61,15,4,0,2
1126,10,19,15,7,0,2
533,113,62,231,4,0,2
217,430,379,175,11,0,4
390,665,54,17,11,0,2
219,712,70,70,11,0,2
219,827,70,70,11,0,2
219,942,70,70,11,0,2
641,654,100,100,13,0,2
641,844,100,100,13,0,2
639,1098,87,26,13,0,2
730,1098,87,26,13,0,2
821,1098,87,26,13,0,2
967,686,174,50,13,0,2
967,1138,174,86,12,0,2
1003,59,162,20,5,0,2
1003,59,110,20,7,0,2
1117,60,18,18,7,0,2
639,400,285,747,9,1,1
639,642,285,380,11,1,1
967,400,184,758,9,1,1
967,872,184,210,12,1,4
185,344,60,34,5,1,2
245,344,131,34,5,1,2
376,344,153,34,5,1,2
529,344,93,34,5,1,2
622,344,77,34,5,1,2
699,344,77,34,5,1,2
776,344,88,34,5,1,2
864,344,76,34,5,1,2
940,344,86,34,5,1,2
639,400,285,206,10,1,4
639,606,285,436,10,1,1
639,642,285,190,12,1,4
639,832,285,190,12,1,4
639,1042,285,20,10,1,2
639,1062,285,85,10,1,4
967,400,184,56,10,1,2
967,456,184,35,10,1,2
967,491,184,195,10,1,4
967,686,184,20,10,1,2
967,706,184,35,10,1,2
967,741,184,95,10,1,2
967,836,184,266,10,1,4
967,872,184,15,13,1,2
967,887,184,15,13,1,2
967,902,184,15,13,1,2
967,917,184,15,13,1,2
967,932,184,15,13,1,2
967,947,184,15,13,1,2
967,962,184,15,13,1,2
967,977,184,15,13,1,2
967,992,184,30,13,1,2
967,1022,184,15,13,1,2
967,1037,184,15,13,1,2
967,1052,184,15,13,1,2
967,1067,184,15,13,1,2
967,1102,184,56,10,1,2
195,398,978,838,4,1,3
197,400,974,834,5,1,3
197,400,974,834,6,1,3
197,400,419,834,7,1,1
618,400,326,834,7,1,1
946,400,225,834,7,1,1
217,400,379,20,10,1,2
219,712,375,15,10,1,2
219,827,375,15,10,1,2
219,942,375,30,10,1,2
639,400,285,747,8,1,1
967,400,184,758,8,1,1
639,400,285,26,11,1,2
639,606,285,26,11,1,2
639,1062,285,26,11,1,2
967,400,184,26,11,1,2
967,836,184,26,11,1,2
967,1102,184,26,11,1,2
751,654,113,15,13,1,2
751,844,84,15,13,1,2
640,1277,495,14,4,1,2
