756,1438,316,90,154,32714,696.04,47,1
756,562,316,90,134,31384,804.72,39,2
756,2838,316,90,186,30942,859.5,36,3
756,738,316,90,138,27912,872.25,32,4
328,1264,316,90,148,27632,575.67,48,5
328,1090,316,90,144,27136,695.79,39,6
756,1090,316,90,146,27092,677.3,40,7
328,738,316,90,136,26830,789.12,34,8
328,914,316,90,140,26026,765.47,34,9
328,1438,316,90,152,25386,686.11,37,10
756,1264,316,90,150,24844,752.85,33,11
756,914,316,90,142,23654,815.66,29,12
328,562,316,90,132,22184,693.25,32,13
328,1786,316,90,160,21614,568.79,38,14
756,2662,316,90,182,20920,721.38,29,15
756,2488,316,90,178,18224,674.96,27,16
328,1612,316,90,156,17958,561.19,32,17
756,2312,316,90,174,17802,774,23,18
756,2136,316,90,170,17686,631.64,28,19
222,1786,100,100,159,14764,671.09,22,20
650,1090,100,100,145,14672,586.88,25,21
756,1786,316,90,162,14408,686.1,21,22
328,2838,316,90,184,14368,684.19,21,23
328,1962,316,90,164,13736,597.22,23,24
328,2488,316,90,176,13312,665.6,20,25
756,1962,316,90,166,13138,772.82,17,26
328,2312,316,90,172,12712,577.82,22,27
328,2136,316,90,168,12654,632.7,20,28
328,2662,316,90,180,11402,600.11,19,29
222,562,100,100,131,11292,537.71,21,30
650,914,100,100,141,11226,467.75,24,31
650,1612,100,100,157,11140,557,20,32
222,914,100,100,139,10848,570.95,19,33
756,1612,316,90,158,10812,540.6,20,34
650,1438,100,100,153,9116,434.1,21,35
650,562,100,100,133,9068,503.78,18,36
222,1090,100,100,143,8834,441.7,20,37
650,2312,100,100,173,8404,525.25,16,38
650,1786,100,100,161,7696,452.71,17,39
222,1264,100,100,147,7628,423.78,18,40
222,1962,100,100,163,7616,585.85,13,41
650,738,100,100,137,7552,539.43,14,42
222,1438,100,100,151,7516,469.75,16,43
650,1962,100,100,165,7254,518.14,14,44
650,1264,100,100,149,6784,452.27,15,45
222,1612,100,100,155,6772,520.92,13,46
650,2488,100,100,177,5938,456.77,13,47
222,738,100,100,135,5750,479.17,12,48
212,504,730,36,59,5354,535.4,10,49
650,2662,100,100,181,4804,436.73,11,50
222,2312,100,100,171,4536,453.6,10,51
222,2136,100,100,167,4186,598,7,52
650,2838,100,100,185,3772,377.2,10,53
222,2838,100,100,183,3752,469,8,54
1144,1044,238,98,14,2856,714,4,55
222,2662,100,100,179,2312,385.33,6,56
650,2136,100,100,169,2224,370.67,6,57
222,2488,100,100,175,2216,443.2,5,58
1144,930,238,74,13,1502,375.5,4,59
1144,612,238,58,11,1072,357.33,3,60
622,138,770,290,5,986,328.67,3,61
1144,854,238,232,12,882,441,2,62
1144,1170,238,112,15,876,438,2,63
232,194,344,202,4,808,404,2,64
188,430,1200,44,6,536,536,1,65
756,3012,316,90,190,372,372,1,66
208,50,257,70,1,0,NaN,0,67
1253,8,132,32,2,0,NaN,0,68
1179,66,204,42,3,0,NaN,0,69
1144,498,204,36,8,0,NaN,0,70
1358,498,204,36,9,0,NaN,0,71
1144,540,36,36,10,0,NaN,0,72
1358,1170,204,36,16,0,NaN,0,73
1144,1214,36,36,17,0,NaN,0,74
1144,1506,204,36,18,0,NaN,0,75
1358,1506,36,36,19,0,NaN,0,76
1144,1548,238,134,20,0,NaN,0,77
188,3380,1200,92,7,0,NaN,0,78
222,3012,100,100,187,0,NaN,0,79
328,3012,316,90,188,0,NaN,0,80
650,3012,100,100,189,0,NaN,0,81
222,3188,100,100,191,0,NaN,0,82
328,3188,316,90,192,0,NaN,0,83
650,3188,100,100,193,0,NaN,0,84
756,3188,316,90,194,0,NaN,0,85
