208,50,257,70,1,0,NaN,0
1253,8,132,32,2,0,NaN,0
1179,66,204,42,3,0,NaN,0
232,194,344,202,4,4298,477.56,9
622,138,770,290,5,5968,994.67,6
188,430,1200,44,6,1440,720,2
1144,500,204,36,8,0,NaN,0
1358,500,204,36,9,0,NaN,0
1014,558,134,134,50,3310,367.78,9
1154,558,216,138,51,3396,1132,3
1014,712,348,106,52,2146,429.2,5
1014,836,134,134,53,2738,456.33,6
1154,836,216,138,54,0,NaN,0
1014,970,348,66,55,1116,558,2
1014,1056,134,134,56,818,409,2
1154,1056,216,138,57,3624,604,6
1014,1194,348,82,58,0,NaN,0
188,1276,1200,92,7,392,392,1
212,504,730,36,59,5432,417.85,13
212,548,768,110,267,1.2927e+05,1723.7,75
212,660,248,30,268,2292,458.4,5
212,700,768,64,269,72930,1105,66
212,824,466,48,71,0,NaN,0
812,824,162,50,72,0,NaN,0
