208,50,257,70,1,0,NaN,0
1253,8,132,32,2,0,NaN,0
1179,66,204,42,3,0,NaN,0
232,194,344,202,4,1174,391.33,3
622,138,770,290,5,752,376,2
188,430,1200,44,6,0,NaN,0
1144,500,204,36,8,0,NaN,0
1358,500,204,36,9,0,NaN,0
1014,558,134,134,50,2638,376.86,7
1154,558,216,138,51,9224,1317.7,7
1014,712,348,106,52,4614,512.67,9
1014,836,134,134,53,3114,389.25,8
1154,836,216,138,54,2434,811.33,3
1014,970,348,66,55,2634,526.8,5
1014,1056,134,134,56,734,367,2
1154,1056,216,138,57,312,312,1
1014,1194,348,82,58,0,NaN,0
188,1260,1200,92,7,0,NaN,0
212,504,730,36,59,410,410,1
212,550,392,30,205,3768,538.29,7
212,584,226,94,208,1702,425.5,4
212,690,392,30,206,1156,578,2
212,726,226,94,209,0,NaN,0
212,832,392,30,207,3162,632.4,5
212,866,226,94,210,1192,397.33,3
