212,546,774,160,215,1.9325e+05,2077.9,93,1
1154,558,216,138,51,31504,1260.2,25,2
1014,712,348,106,52,15990,726.82,22,3
1154,836,216,138,54,14150,943.33,15,4
1014,558,134,134,50,8034,401.7,20,5
212,504,730,36,59,7602,584.77,13,6
188,430,1200,44,6,6182,475.54,13,7
1014,970,348,66,55,5550,462.5,12,8
1154,1056,216,138,57,4310,615.71,7,9
1014,836,134,134,53,3838,479.75,8,10
212,708,228,72,70,3486,581,6,11
1014,1056,134,134,56,2094,418.8,5,12
232,194,344,202,4,1194,398,3,13
208,50,257,70,1,0,NaN,0,14
1253,8,132,32,2,0,NaN,0,15
1179,66,204,42,3,0,NaN,0,16
622,138,770,290,5,0,NaN,0,17
1144,500,204,36,8,0,NaN,0,18
1358,500,204,36,9,0,NaN,0,19
1014,1194,348,82,58,0,NaN,0,20
188,1472,1200,92,7,0,NaN,0,21
212,842,466,48,71,0,NaN,0,22
812,842,162,50,72,0,NaN,0,23
