body,0,0,1349,1328,1,1,1,1
div,185,0,980,1328,2,1,2,1
div,185,0,980,113,3,1,3,1
div,185,0,980,25,4,1,4,1
div,1050,10,95,15,5,1,5,1
div,1003,25,162,54,4,1,6,1
div,1003,59,162,20,6,1,7,1
div,533,113,632,231,3,1,8,1
div,185,344,980,34,3,1,9,1
div,185,378,1010,878,3,1,10,1
div,217,400,379,285,8,1,11,1
div,217,400,379,285,9,1,12,1
div,217,700,379,345,8,1,13,1
div,217,700,379,115,9,1,14,1
div,217,815,379,115,9,1,15,1
div,217,930,379,115,9,1,16,1
div,639,436,285,150,11,1,17,1
div,639,1098,285,29,11,1,18,1
div,967,456,184,15,11,1,19,1
div,967,491,184,175,11,1,20,1
div,967,706,184,15,11,1,21,1
div,967,741,184,75,11,1,22,1
div,967,872,184,210,11,1,23,1
div,185,1256,980,72,3,1,24,1
a,215,45,200,50,4,0,25,1
a,185,113,348,231,3,0,26,1
a,185,344,60,34,6,0,27,1
a,245,344,131,34,6,0,28,1
a,376,344,153,34,6,0,29,1
a,529,344,93,34,6,0,30,1
a,622,344,77,34,6,0,31,1
a,699,344,77,34,6,0,32,1
a,776,344,88,34,6,0,33,1
a,864,344,76,34,6,0,34,1
a,940,344,86,34,6,0,35,1
a,217,400,318,20,11,0,36,1
a,217,593,379,12,10,0,37,1
a,439,670,54,12,10,0,38,1
a,299,712,290,30,11,0,39,1
a,472,787,92,15,10,0,40,1
a,299,827,192,15,11,0,41,1
a,219,902,92,15,10,0,42,1
a,299,942,211,15,11,0,43,1
a,219,1002,357,30,10,0,44,1
a,645,819,66,15,13,0,45,1
a,744,994,66,15,13,0,46,1
a,639,1112,87,12,12,0,47,1
a,730,1112,87,12,12,0,48,1
a,821,1112,87,12,12,0,49,1
a,967,436,32,32,11,0,50,1
a,1004,436,32,32,11,0,51,1
a,1041,436,32,32,11,0,52,1
a,967,872,109,15,14,0,53,1
a,967,887,61,15,14,0,54,1
a,967,902,111,15,14,0,55,1
a,967,917,126,15,14,0,56,1
a,967,932,134,15,14,0,57,1
a,967,947,91,15,14,0,58,1
a,967,962,174,15,14,0,59,1
a,967,977,102,15,14,0,60,1
a,967,992,142,30,14,0,61,1
a,967,1022,162,15,14,0,62,1
a,967,1037,158,15,14,0,63,1
a,967,1052,156,15,14,0,64,1
a,967,1067,48,15,14,0,65,1
a,1074,1291,61,15,4,0,66,1
img,1126,10,19,15,7,0,67,1
img,533,113,62,231,4,0,68,1
img,217,430,379,175,11,0,69,1
img,439,665,54,17,11,0,70,1
img,219,712,70,70,11,0,71,1
img,219,827,70,70,11,0,72,1
img,219,942,70,70,11,0,73,1
img,641,654,100,100,13,0,74,1
img,641,859,100,100,13,0,75,1
img,639,1098,87,26,13,0,76,1
img,730,1098,87,26,13,0,77,1
img,821,1098,87,26,13,0,78,1
img,967,686,174,50,13,0,79,1
img,967,1138,174,86,12,0,80,1
form,1003,59,162,20,5,0,81,1
input,1003,59,110,20,7,0,82,1
input,1117,60,18,18,7,0,83,1
ul,639,400,285,747,9,1,84,1
ul,639,642,285,380,11,1,85,1
ul,967,400,184,758,9,1,86,1
ul,967,872,184,210,12,1,87,1
li,185,344,60,34,5,1,88,1
li,245,344,131,34,5,1,89,1
li,376,344,153,34,5,1,90,1
li,529,344,93,34,5,1,91,1
li,622,344,77,34,5,1,92,1
li,699,344,77,34,5,1,93,1
li,776,344,88,34,5,1,94,1
li,864,344,76,34,5,1,95,1
li,940,344,86,34,5,1,96,1
li,639,400,285,206,10,1,97,1
li,639,606,285,436,10,1,98,1
li,639,642,285,205,12,1,99,1
li,639,847,285,175,12,1,100,1
li,639,1042,285,20,10,1,101,1
li,639,1062,285,85,10,1,102,1
li,967,400,184,56,10,1,103,1
li,967,456,184,35,10,1,104,1
li,967,491,184,195,10,1,105,1
li,967,686,184,20,10,1,106,1
li,967,706,184,35,10,1,107,1
li,967,741,184,95,10,1,108,1
li,967,836,184,266,10,1,109,1
li,967,872,184,15,13,1,110,1
li,967,887,184,15,13,1,111,1
li,967,902,184,15,13,1,112,1
li,967,917,184,15,13,1,113,1
li,967,932,184,15,13,1,114,1
li,967,947,184,15,13,1,115,1
li,967,962,184,15,13,1,116,1
li,967,977,184,15,13,1,117,1
li,967,992,184,30,13,1,118,1
li,967,1022,184,15,13,1,119,1
li,967,1037,184,15,13,1,120,1
li,967,1052,184,15,13,1,121,1
li,967,1067,184,15,13,1,122,1
li,967,1102,184,56,10,1,123,1
table,195,398,978,838,4,1,124,1
tbody,197,400,974,834,5,1,125,1
tr,197,400,974,834,6,1,126,1
td,197,400,419,834,7,1,127,1
td,618,400,326,834,7,1,128,1
td,946,400,225,834,7,1,129,1
h3,217,400,379,20,10,1,130,1
h3,219,712,375,30,10,1,131,1
h3,219,827,375,15,10,1,132,1
h3,219,942,375,15,10,1,133,1
center,639,400,285,747,8,1,134,1
center,967,400,184,758,8,1,135,1
h2,639,400,285,26,11,1,136,1
h2,639,606,285,26,11,1,137,1
h2,639,1062,285,26,11,1,138,1
h2,967,400,184,26,11,1,139,1
h2,967,836,184,26,11,1,140,1
h2,967,1102,184,26,11,1,141,1
strong,751,654,70,15,13,1,142,1
strong,751,859,84,15,13,1,143,1
span,640,1277,495,14,4,1,144,1
